Станция;Пассажиропоток;Линия
Таганская;20,9;Таганско-Краснопресненская
Текстильщики;118,8;Таганско-Краснопресненская
Тушинская;128,8;Таганско-Краснопресненская
Улица 1905 года;82,3;Таганско-Краснопресненская
Щукинская;89,1;Таганско-Краснопресненская
Итого:;1500,5;Таганско-Краснопресненская
Филевская линия:;;
Александровский сад;38,2;Филевская
Арбатская;19,1;Филевская
Багратионовская;34,8;Филевская
Киевская;57,3;Филевская
Крылатское;39,0;Филевская
Кунцевская;30,1;Филевская
Кутузовская;32,5;Филевская
Молодежная;49,9;Филевская
Пионерская;12,7;Филевская
Смоленская;17,2;Филевская
Студенческая;16,5;Филевская
Филевский парк;29,5;Филевская
Фили;35,8;Филевская
Итого:;412,5;Филевская
